version,1
codebook_name,mixed_125MHD4_263MHD2
bit_names,RS0109_cy5,RS0175_cy5,RS0237_cy5,RS0307_cy5,RS0332_cy5,RS0384_atto565,RS0406_atto565,RS0451_atto565,RS0468_atto565,RS0548_atto565,RS64.0_atto565,RS156.0_alexa488,RS278.0_alexa488,RS313.0_alexa488,RS643.0_alexa488,RS740.0_alexa488,RS810.0_alexa488,RSN9927.0_cy5,RSN2336.0_cy5,RSN1807.0_cy5,RSN4287.0_atto565,RSN1252.0_atto565,RSN9535.0_atto565
name, id, barcode
,ENST00000281154,100001000010000000000100
SLC25A4,ENST00000281456,100001010000000000010000
SLC25A5,ENST00000317881,100001101000000000000000
SLC25A6,ENST00000381401,100010000000000010000010
SLC8A1,ENST00000406785,100010000000010000000100
SLC8A2,ENST00000236877,100010000010000000000001
SLC8A3,ENST00000533541,100010000101000000000000
SLN,ENST00000531293,100010001000000001000000
SPERT,ENST00000378966,100010010000000000100000
SPHK1,ENST00000323374,100011000000001000000000
SPHK2,ENST00000598088,100100000000000110000000
TACR1,ENST00000305249,100100000000100000000001
TACR2,ENST00000373306,100100000001000000000100
TACR3,ENST00000304883,100100000010001000000000
TBXA2R,ENST00000375190,100100001000010000000000
TNNC1,ENST00000496590,100100010000000000000010
TNNC2,ENST00000372557,100100100000000000010000
TRDN,ENST00000334268,100101000100000000000000
,ENST00000518632,100110000000000000001000
,ENST00000264811,101000000000000000000101
TRPC4,ENST00000379705,101000000000010010000000
,ENST00000262839,101000000000100000001000
TRPC6,ENST00000344327,101000000001000100000000
TRPC7,ENST00000513104,101000000010000001000000
VDAC3,ENST00000022615,101000000100001000000000
ACTA2,ENST00000224784,101000011000000000000000
ALDH1A3,ENST00000329841,101000100000000000100000
ATXN1,ENST00000244769,101010000000000000010000
ITGA2,ENST00000296585,110000000000000000101000
CDH1,ENST00000261769,110000000000001000010000
CDH2,ENST00000269141,110000000000010000000001
CDH3,ENST00000264012,110000000000100000000010
KRT8,ENST00000293308,110000000110000000000000
ESR1,ENST00000206249,110000010000000001000000
FOXA1,ENST00000250448,110001000001000000000000
GATA3,ENST00000379328,110010100000000000000000
MET,ENST00000397752,111100000000000000000000
MME,ENST00000460393,000000000000000001001101
MUC1,ENST00000611571,000000000000000100100110
OCLN,ENST00000355237,000000000000000111001000
OVGP1,ENST00000369732,000000000000001000001011
TP63,ENST00000354600,000000000000001001000110
PDPN,ENST00000294489,000000000000001010011000
PIK3CA,ENST00000263967,000000000000001100010001
SNAI1,ENST00000244050,000000000000010000001110
SNAI2,ENST00000020945,000000000000010000011001
SRC,ENST00000373578,000000000000010011010000
STAT5A,ENST00000590949,000000000000010100000101
VIM,ENST00000544301,000000000000010110100000
ARRB1,ENST00000420843,000000000000011010000010
ARRB2,ENST00000269260,000000000000100000011010
GNAO1,ENST00000262494,000000000000100000100101
GNB1,ENST00000610897,000000000000100010010001
GNB4,ENST00000232564,000000000000100011100000
GNG4,ENST00000391854,000000000000100100010100
GRK2,ENST00000308595,000000000000100101000001
GRK3,ENST00000324198,000000000000100110000010
GRK4,ENST00000398052,000000000000110001000010
GRK5,ENST00000392870,000000000000110100001000
GRK6,ENST00000528793,000000000000111000010000
P2RY11,ENST00000321826,000000000001000100110000
P2RY2,ENST00000311131,000000000001001000001100
RGS12,ENST00000382788,000000000001001000100001
RGS14,ENST00000408923,000000000001001100000010
RGS16,ENST00000367558,000000000001010000010100
